"state","unique_customers","total_orders","total_revenue","avg_order_value","orders_per_customer","pct_of_total_revenue","cumulative_revenue_pct","pareto_segment"
"SP","39155","40500","5770266.19","142.48","1.03","37.41","37.41","Top 80% Revenue Drivers"
"RJ","11917","12350","2055690.45","166.45","1.04","13.33","50.74","Top 80% Revenue Drivers"
"MG","11001","11354","1819277.61","160.23","1.03","11.80","62.54","Top 80% Revenue Drivers"
"RS","5168","5345","861802.40","161.24","1.03","5.59","68.13","Top 80% Revenue Drivers"
"PR","4769","4923","781919.55","158.83","1.03","5.07","73.20","Top 80% Revenue Drivers"
"SC","3449","3546","595208.40","167.85","1.03","3.86","77.06","Top 80% Revenue Drivers"
"BA","3158","3256","591270.60","181.59","1.03","3.83","80.89","Long Tail"
"DF","2019","2080","346146.17","166.42","1.03","2.24","83.14","Long Tail"
"GO","1895","1957","334294.22","170.82","1.03","2.17","85.30","Long Tail"
"ES","1928","1995","317682.65","159.24","1.03","2.06","87.36","Long Tail"
"PE","1551","1593","309074.59","194.02","1.03","2.00","89.37","Long Tail"
"CE","1258","1279","266463.97","208.34","1.02","1.73","91.10","Long Tail"
"PA","922","946","212027.55","224.13","1.03","1.37","92.47","Long Tail"
"MT","856","886","181441.72","204.79","1.04","1.18","93.65","Long Tail"
"MA","700","717","147807.29","206.15","1.02","0.96","94.60","Long Tail"
"PB","504","517","137834.65","266.60","1.03","0.89","95.50","Long Tail"
"MS","681","701","134421.54","191.76","1.03","0.87","96.37","Long Tail"
"PI","464","476","105272.17","221.16","1.03","0.68","97.05","Long Tail"
"RN","464","474","100728.30","212.51","1.02","0.65","97.71","Long Tail"
"AL","387","397","94195.79","237.27","1.03","0.61","98.32","Long Tail"
"SE","329","335","70289.13","209.82","1.02","0.46","98.77","Long Tail"
"TO","267","274","60007.37","219.01","1.03","0.39","99.16","Long Tail"
"RO","231","243","56975.70","234.47","1.05","0.37","99.53","Long Tail"
"AM","140","145","27596.18","190.32","1.04","0.18","99.71","Long Tail"
"AC","76","80","19586.25","244.83","1.05","0.13","99.84","Long Tail"
"AP","66","67","16141.81","240.92","1.02","0.10","99.94","Long Tail"
"RR","40","41","9039.52","220.48","1.03","0.06","100.00","Long Tail"
