"customer_unique_id","r_score","f_score","m_score","rfm_segment","frequency","monetary","recency_days"
"082404643acd430a6fcd6ac0c6027e02",5,5,5,"5-5-5","1","54.78",116
"daf000736a5b97b67531b55ead4aff33",5,5,5,"5-5-5","1","54.74",102
"f501763f86860a6276ac5bd82ed23925",5,5,5,"5-5-5","1","54.74",59
"3e034581882bea17c0d780b9ddc086f9",5,5,5,"5-5-5","1","54.72",126
"149527eff0400f2edb2a192d7a21bbc8",5,5,5,"5-5-5","1","54.64",97
"98a999d2745802e76ee3055041359237",5,5,5,"5-5-5","1","54.64",60
"40c4fd5337242db6f6217e4db8bfaa32",5,5,5,"5-5-5","1","54.64",57
"bca1149277380e7481e795f4ea94cf52",5,5,5,"5-5-5","1","54.64",86
"fb1fae7c8d4ad84a1c4516955895d2b4",5,5,5,"5-5-5","1","54.60",70
"da2e6aff571f5ce4cd4b61caeb084888",5,5,5,"5-5-5","1","54.60",64
"38147120ef93174c2a4dc73918c2489a",5,5,5,"5-5-5","1","54.59",75
"37ebc5d2bfb5e627815f16fe28da474a",5,5,5,"5-5-5","1","54.58",69
"5301cf10a5bac57f36e3a610d368ee77",5,5,5,"5-5-5","1","54.58",100
"3705e9dfdf2b88399106d4519bbc2e46",5,5,5,"5-5-5","1","54.58",111
"faed38109bbf7da6f035630d92a49a27",5,5,5,"5-5-5","1","54.58",93
"bb67a2b9f83d25ea5951e7521ddc572a",5,5,5,"5-5-5","1","54.57",121
"88184b659e4ddef218a3cce4265c741b",5,5,5,"5-5-5","1","54.56",60
"c5c7a8748a200412a40978afa8f691e6",5,5,5,"5-5-5","1","54.55",120
"d31c97aa3ad392c8e38ec211d41f5510",5,5,5,"5-5-5","1","54.55",109
"78e0b35105bce7cc43ea81a4bbe7be3e",5,5,5,"5-5-5","1","54.49",57
"f64bd653c0a8d877bf294a9f41500dcc",5,5,5,"5-5-5","1","54.49",90
"3bd8631b581ab05b791a8db95817d540",5,5,5,"5-5-5","1","54.49",106
"a1093bee1795c50b44d4e8d8a44c8b77",5,5,5,"5-5-5","1","54.46",83
"746cee402ac843df98d143ede25ec692",5,5,5,"5-5-5","1","54.44",71
"d42ada67e15c9c011d37b0451df43614",5,5,5,"5-5-5","1","54.44",116
"5816f42342d01319fd51e39e45cc2a5d",5,5,5,"5-5-5","1","54.44",113
"f5d302f19b0d545ecf570d3c928ebcf4",5,5,5,"5-5-5","1","54.44",125
"dab089fa65bb034be33093c57a1d4378",5,5,5,"5-5-5","1","54.44",96
"234cc5348b41521d7d7aeafb5111f0a7",5,5,5,"5-5-5","1","54.44",60
"ca456971ad182f9d085b4f90c1590e3d",5,5,5,"5-5-5","1","54.43",80
"60285cdf915542c730001842f8856d6e",5,5,5,"5-5-5","1","54.43",115
"b8776b15d03c63e212ebda87ad6b8fb1",5,5,5,"5-5-5","1","54.43",100
"12d660460d0cd6ebdcf1206c8f1753a8",5,5,5,"5-5-5","1","54.38",133
"cb0f538c57d5d90b59f191d40e606634",5,5,5,"5-5-5","1","54.37",126
"baf26f8ecbbd9c3ace02c743e212988a",5,5,5,"5-5-5","1","54.37",83
"cb2d339aea25a85bda60fec5f65bb39d",5,5,5,"5-5-5","1","54.37",73
"3310ae52a096ec2f7ecc4534713e6897",5,5,5,"5-5-5","1","54.37",111
"9b656d0bb956f6e0af4dc9ab2104e16b",5,5,5,"5-5-5","1","54.37",76
"dfb3d2f73f921b080b2ec0f91939c00c",5,5,5,"5-5-5","1","54.37",66
"f45ff20176b28f1af7fe3e10eab1ce76",5,5,5,"5-5-5","1","54.37",100
"6f4642a1b4232d126c5bff5cd2722b41",5,5,5,"5-5-5","1","54.37",122
"f5374a3252629ff1494472bb4b2bf68c",5,5,5,"5-5-5","1","54.34",55
"e414816b4250236fdf309b17fbd96189",5,5,5,"5-5-5","1","54.34",114
"0a558d0bb58bd4bfb80b9dcaeb56203d",5,5,5,"5-5-5","1","54.33",97
"13efb012003483c7c63f07855c5b7605",5,5,5,"5-5-5","1","54.33",61
"5534745c7f70a5220c6326ac3d00bd20",5,5,5,"5-5-5","1","54.33",112
"b24963591a8266ce60e5c2da00b3ae99",5,5,5,"5-5-5","1","54.33",124
"5595ba3152a598ad5cb09fa2e4304e0f",5,5,5,"5-5-5","1","54.33",70
"7b80c792070ee3fa4b223bd1535570e7",5,5,5,"5-5-5","1","54.32",140
"e59d98970fee89f123d04e23a357d371",5,5,5,"5-5-5","1","54.32",64
